Rank,Date,Cash,Cash Interest,Margin Cost,Net Worth,% Return
9,12/6/2021,"$1,939.00","N/A","N/A","$101,162.60","1.16%"
9,12/3/2021,"$1,939.00","N/A","N/A","$101,162.60","1.16%"
8,12/2/2021,"$1,939.00","N/A","N/A","$102,503.50","2.50%"
10,12/1/2021,"$1,939.00","N/A","N/A","$100,977.40","0.98%"
9,11/30/2021,"$1,939.00","N/A","N/A","$102,315.60","2.32%"
9,11/29/2021,"$1,939.00","N/A","N/A","$103,443.55","3.44%"
11,11/26/2021,"$1,939.00","N/A","N/A","$102,491.40","2.49%"
12,11/24/2021,"$1,939.00","N/A","N/A","$104,939.90","4.94%"
10,11/23/2021,"$1,939.00","N/A","N/A","$104,551.60","4.55%"
11,11/22/2021,"$1,939.00","N/A","N/A","$105,521.50","5.52%"
11,11/19/2021,"$1,939.00","N/A","N/A","$104,781.30","4.78%"
11,11/18/2021,"$1,939.00","N/A","N/A","$104,715.60","4.72%"
13,11/17/2021,"$1,939.00","N/A","N/A","$104,244.30","4.24%"
13,11/16/2021,"$1,939.00","N/A","N/A","$103,983.20","3.98%"
12,11/15/2021,"$1,939.00","N/A","N/A","$103,894.67","3.89%"
13,11/10/2021,"$1,939.00","N/A","N/A","$103,845.90","3.85%"
13,11/9/2021,"$1,939.00","N/A","N/A","$104,489.60","4.49%"
13,11/8/2021,"$1,939.00","N/A","N/A","$104,570.40","4.57%"
13,11/5/2021,"$1,939.00","N/A","N/A","$104,346.13","4.35%"
13,11/4/2021,"$1,939.00","N/A","N/A","$104,065.20","4.07%"
11,11/3/2021,"$1,939.00","N/A","N/A","$103,591.20","3.59%"
12,11/2/2021,"$1,939.00","N/A","N/A","$102,464.90","2.46%"
10,10/29/2021,"$1,939.00","N/A","N/A","$102,288.80","2.29%"
10,10/28/2021,"$1,939.00","N/A","N/A","$102,123.50","2.12%"
8,10/27/2021,"$1,939.00","N/A","N/A","$101,093.60","1.09%"
9,10/26/2021,"$1,939.00","N/A","N/A","$101,676.19","1.68%"
9,10/25/2021,"$1,939.00","N/A","N/A","$101,408.00","1.41%"
8,10/21/2021,"$1,939.00","N/A","N/A","$100,855.40","0.86%"
9,10/20/2021,"$1,939.00","N/A","N/A","$100,526.10","0.53%"
9,10/19/2021,"$1,939.00","N/A","N/A","$100,204.05","0.20%"
N/A,10/18/2021,"$100,000.00","N/A","N/A","$100,000.00","0.00%"
N/A,10/15/2021,"$100,000.00","N/A","N/A","$100,000.00","0.00%"
N/A,10/14/2021,"$100,000.00","N/A","N/A","$100,000.00","0.00%"
N/A,10/13/2021,"$100,000.00","N/A","N/A","$100,000.00","0.00%"
N/A,10/12/2021,"$100,000.00","N/A","N/A","$100,000.00","0.00%"
N/A,10/11/2021,"$100,000.00","N/A","N/A","$100,000.00","0.00%"
